date_time,ms_played,minutes_played,country,episode_name,show_name,album_name,track_name,artist_name,skipped,type
2020-06-11 03:37:20+00:00,39160,0.652666667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-11 03:37:20+00:00,13119,0.21865,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-11 05:43:22+00:00,50182,0.836366667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-11 05:43:22+00:00,50182,0.836366667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-11 09:00:54+00:00,50182,0.836366667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-12 02:59:45+00:00,50182,0.836366667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-12 06:28:27+00:00,3947,0.065783333,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-12 19:18:48+00:00,19966,0.332766667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-12 19:18:49+00:00,7418,0.123633333,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-13 07:03:00+00:00,54269,0.904483333,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-13 07:55:00+00:00,54269,0.904483333,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-15 02:41:58+00:00,50182,0.836366667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-18 08:54:43+00:00,232,0.003866667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-18 08:54:43+00:00,3668,0.061133333,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-18 09:13:16+00:00,2484,0.0414,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-19 08:05:00+00:00,48182,0.803033333,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-07-17 18:13:25+00:00,48297,0.80495,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-07-26 08:43:29+00:00,35057,0.584283333,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-07 02:30:06+00:00,112938,1.8823,NZ,EP01｜有空錄 Podcast 的腦闆都是企業邊緣人,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-09 23:42:21+00:00,2611826,43.53043333,NZ,EP02｜看A片的順序是很重要的,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-10 00:12:21+00:00,1798723,29.97871667,NZ,EP03｜不能去旅行那就來一趟中年之旅吧,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-11 00:48:31+00:00,2868800,47.81333333,NZ,EP04｜鹽埕區十大傑出青年,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-11 01:06:18+00:00,1067114,17.78523333,NZ,EP04.5｜過年視同作戰，請大家好好聊天,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-12 01:24:04+00:00,2420860,40.34766667,NZ,EP01｜有空錄 Podcast 的腦闆都是企業邊緣人,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-12 01:34:50+00:00,275501,4.591683333,NZ,EP02｜看A片的順序是很重要的,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-12 02:26:29+00:00,2072175,34.53625,NZ,EP04｜鹽埕區十大傑出青年,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-12 02:26:40+00:00,10474,0.174566667,NZ,EP04｜鹽埕區十大傑出青年,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-17 22:33:28+00:00,2399296,39.98826667,NZ,EP06｜夫妻之間吼，只有體位可以分上下 ft. 小啦（上）,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-17 23:24:08+00:00,3039338,50.65563333,NZ,EP05｜耍廢藝術家的時間管理哲學,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-17 23:28:06+00:00,237397,3.956616667,NZ,姐妹悄悄話EP53 : 大亨回首創業來時路,姐妹悄悄話｜SistersTalkTalkShow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-18 00:45:16+00:00,4631295,77.18825,NZ,EP03｜不能去旅行那就來一趟中年之旅吧,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-18 01:08:38+00:00,1345062,22.4177,NZ,EP04｜鹽埕區十大傑出青年,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-18 01:08:38+00:00,41071,0.684516667,NZ,EP06｜夫妻之間吼，只有體位可以分上下 ft. 小啦（上）,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-18 01:55:07+00:00,2777213,46.28688333,NZ,EP01｜有空錄 Podcast 的腦闆都是企業邊緣人,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-18 01:55:26+00:00,18105,0.30175,NZ,EP02｜看A片的順序是很重要的,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-18 02:05:35+00:00,608853,10.14755,NZ,EP03｜不能去旅行那就來一趟中年之旅吧,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-18 02:33:51+00:00,1695509,28.25848333,NZ,EP04｜鹽埕區十大傑出青年,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-18 03:14:29+00:00,2440071,40.66785,NZ,EP06｜夫妻之間吼，只有體位可以分上下 ft. 小啦（上）,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
